"index","id","name","fk_distributor"
55,"store_manufacturer_161","","manufacturer_161"
56,"store_manufacturer_212","","manufacturer_212"
57,"store_manufacturer_134","","manufacturer_134"
58,"store_manufacturer_258","","manufacturer_258"
59,"store_manufacturer_45","","manufacturer_45"
60,"store_manufacturer_79","","manufacturer_79"
61,"store_manufacturer_81","","manufacturer_81"
62,"store_manufacturer_111","","manufacturer_111"
63,"store_manufacturer_136","","manufacturer_136"
64,"store_manufacturer_132","","manufacturer_132"
65,"store_manufacturer_293","","manufacturer_293"
66,"store_manufacturer_308","","manufacturer_308"
67,"store_manufacturer_179","","manufacturer_179"
68,"store_manufacturer_271","","manufacturer_271"
69,"store_manufacturer_66","","manufacturer_66"
70,"store_manufacturer_273","","manufacturer_273"
71,"store_manufacturer_116","","manufacturer_116"
72,"store_manufacturer_104","","manufacturer_104"
73,"store_manufacturer_114","","manufacturer_114"
74,"store_manufacturer_135","","manufacturer_135"
75,"store_manufacturer_129","","manufacturer_129"
76,"store_manufacturer_169","","manufacturer_169"
77,"store_manufacturer_172","","manufacturer_172"
78,"store_manufacturer_117","","manufacturer_117"
79,"store_manufacturer_260","","manufacturer_260"
80,"store_manufacturer_92","","manufacturer_92"
81,"store_manufacturer_366","","manufacturer_366"
82,"store_manufacturer_367","","manufacturer_367"
83,"store_manufacturer_42","","manufacturer_42"
84,"store_manufacturer_151","","manufacturer_151"
85,"store_manufacturer_14","","manufacturer_14"
86,"store_manufacturer_61","","manufacturer_61"
87,"store_manufacturer_107","","manufacturer_107"
88,"store_manufacturer_50","","manufacturer_50"
89,"store_manufacturer_91","","manufacturer_91"
90,"store_manufacturer_47","","manufacturer_47"
91,"store_manufacturer_394","","manufacturer_394"
92,"store_manufacturer_175","","manufacturer_175"
93,"store_manufacturer_263","","manufacturer_263"
94,"store_manufacturer_262","","manufacturer_262"
95,"store_manufacturer_181","","manufacturer_181"
96,"store_manufacturer_89","","manufacturer_89"
97,"store_manufacturer_119","","manufacturer_119"
98,"store_manufacturer_192","","manufacturer_192"
99,"store_manufacturer_8","","manufacturer_8"
100,"store_manufacturer_185","","manufacturer_185"
101,"store_manufacturer_53","","manufacturer_53"
102,"store_manufacturer_416","","manufacturer_416"
103,"store_manufacturer_188","","manufacturer_188"
104,"store_manufacturer_290","","manufacturer_290"
105,"store_manufacturer_291","","manufacturer_291"
106,"store_manufacturer_70","","manufacturer_70"
107,"store_manufacturer_184","","manufacturer_184"
108,"store_manufacturer_398","","manufacturer_398"
109,"store_manufacturer_55","","manufacturer_55"
110,"store_manufacturer_292","","manufacturer_292"
111,"store_manufacturer_101","","manufacturer_101"
112,"store_manufacturer_213","","manufacturer_213"
113,"store_manufacturer_133","","manufacturer_133"
114,"store_manufacturer_278","","manufacturer_278"
115,"store_manufacturer_90","","manufacturer_90"
116,"store_manufacturer_180","","manufacturer_180"
117,"store_manufacturer_176","","manufacturer_176"
118,"store_manufacturer_205","","manufacturer_205"
119,"store_manufacturer_59","","manufacturer_59"
120,"store_manufacturer_206","","manufacturer_206"
121,"store_manufacturer_200","","manufacturer_200"
122,"store_manufacturer_363","","manufacturer_363"
123,"store_manufacturer_382","","manufacturer_382"
124,"store_manufacturer_336","","manufacturer_336"
125,"store_manufacturer_87","","manufacturer_87"
126,"store_manufacturer_312","","manufacturer_312"
127,"store_manufacturer_130","","manufacturer_130"
128,"store_manufacturer_56","","manufacturer_56"
129,"store_manufacturer_78","","manufacturer_78"
130,"store_manufacturer_63","","manufacturer_63"
131,"store_manufacturer_11","","manufacturer_11"
132,"store_manufacturer_215","","manufacturer_215"
133,"store_manufacturer_80","","manufacturer_80"
134,"store_manufacturer_65","","manufacturer_65"
135,"store_manufacturer_144","","manufacturer_144"
136,"store_manufacturer_214","","manufacturer_214"
137,"store_manufacturer_83","","manufacturer_83"
138,"store_manufacturer_75","","manufacturer_75"
139,"store_manufacturer_433","","manufacturer_433"
140,"store_manufacturer_190","","manufacturer_190"
141,"store_manufacturer_37","","manufacturer_37"
142,"store_manufacturer_110","","manufacturer_110"
143,"store_manufacturer_246","","manufacturer_246"
144,"store_manufacturer_69","","manufacturer_69"
145,"store_manufacturer_86","","manufacturer_86"
146,"store_manufacturer_62","","manufacturer_62"
147,"store_manufacturer_250","","manufacturer_250"
148,"store_manufacturer_152","","manufacturer_152"
149,"store_manufacturer_124","","manufacturer_124"
150,"store_manufacturer_265","","manufacturer_265"
151,"store_manufacturer_60","","manufacturer_60"
152,"store_manufacturer_137","","manufacturer_137"
153,"store_manufacturer_68","","manufacturer_68"
154,"store_manufacturer_95","","manufacturer_95"
155,"store_manufacturer_96","","manufacturer_96"
156,"store_manufacturer_71","","manufacturer_71"
157,"store_manufacturer_22","","manufacturer_22"
158,"store_manufacturer_122","","manufacturer_122"
159,"store_manufacturer_247","","manufacturer_247"
160,"store_manufacturer_125","","manufacturer_125"
161,"store_manufacturer_84","","manufacturer_84"
162,"store_manufacturer_48","","manufacturer_48"
163,"store_manufacturer_100","","manufacturer_100"
164,"store_manufacturer_120","","manufacturer_120"
165,"store_manufacturer_160","","manufacturer_160"
166,"store_manufacturer_64","","manufacturer_64"
167,"store_manufacturer_40","","manufacturer_40"
168,"store_manufacturer_183","","manufacturer_183"
169,"store_manufacturer_384","","manufacturer_384"
170,"store_manufacturer_412","","manufacturer_412"
171,"store_manufacturer_146","","manufacturer_146"
172,"store_manufacturer_43","","manufacturer_43"
173,"store_manufacturer_187","","manufacturer_187"
174,"store_manufacturer_10","","manufacturer_10"
175,"store_manufacturer_410","","manufacturer_410"
176,"store_manufacturer_93","","manufacturer_93"
177,"store_manufacturer_24","","manufacturer_24"
178,"store_manufacturer_73","","manufacturer_73"
179,"store_manufacturer_315","","manufacturer_315"
180,"store_manufacturer_318","","manufacturer_318"
181,"store_manufacturer_41","","manufacturer_41"
182,"store_manufacturer_216","","manufacturer_216"
183,"store_manufacturer_377","","manufacturer_377"
184,"store_manufacturer_217","","manufacturer_217"
185,"store_manufacturer_218","","manufacturer_218"
186,"store_manufacturer_166","","manufacturer_166"
187,"store_manufacturer_85","","manufacturer_85"
188,"store_manufacturer_219","","manufacturer_219"
189,"store_manufacturer_76","","manufacturer_76"
190,"store_manufacturer_58","","manufacturer_58"
191,"store_manufacturer_309","","manufacturer_309"
192,"store_manufacturer_67","","manufacturer_67"
193,"store_manufacturer_34","","manufacturer_34"
194,"store_manufacturer_140","","manufacturer_140"
195,"store_manufacturer_141","","manufacturer_141"
196,"store_manufacturer_232","","manufacturer_232"
197,"store_manufacturer_252","","manufacturer_252"
198,"store_manufacturer_49","","manufacturer_49"
199,"store_manufacturer_335","","manufacturer_335"
200,"store_manufacturer_189","","manufacturer_189"
201,"store_manufacturer_149","","manufacturer_149"
202,"store_manufacturer_167","","manufacturer_167"
203,"store_manufacturer_35","","manufacturer_35"
204,"store_manufacturer_234","","manufacturer_234"
205,"store_manufacturer_177","","manufacturer_177"
206,"store_manufacturer_194","","manufacturer_194"
207,"store_manufacturer_325","","manufacturer_325"
208,"store_manufacturer_436","","manufacturer_436"
209,"store_manufacturer_253","","manufacturer_253"
210,"store_manufacturer_220","","manufacturer_220"
211,"store_manufacturer_425","","manufacturer_425"
212,"store_manufacturer_142","","manufacturer_142"
213,"store_manufacturer_28","","manufacturer_28"
214,"store_manufacturer_29","","manufacturer_29"
215,"store_manufacturer_143","","manufacturer_143"
216,"store_manufacturer_310","","manufacturer_310"
217,"store_manufacturer_145","","manufacturer_145"
218,"store_manufacturer_147","","manufacturer_147"
219,"store_manufacturer_148","","manufacturer_148"
220,"store_manufacturer_154","","manufacturer_154"
221,"store_manufacturer_157","","manufacturer_157"
222,"store_manufacturer_221","","manufacturer_221"
223,"store_manufacturer_153","","manufacturer_153"
224,"store_manufacturer_155","","manufacturer_155"
225,"store_manufacturer_222","","manufacturer_222"
226,"store_manufacturer_150","","manufacturer_150"
227,"store_manufacturer_256","","manufacturer_256"
228,"store_manufacturer_311","","manufacturer_311"
229,"store_manufacturer_224","","manufacturer_224"
230,"store_manufacturer_210","","manufacturer_210"
231,"store_manufacturer_319","","manufacturer_319"
232,"store_manufacturer_225","","manufacturer_225"
233,"store_manufacturer_375","","manufacturer_375"
234,"store_manufacturer_15","","manufacturer_15"
235,"store_manufacturer_373","","manufacturer_373"
236,"store_manufacturer_364","","manufacturer_364"
237,"store_manufacturer_227","","manufacturer_227"
238,"store_manufacturer_228","","manufacturer_228"
239,"store_manufacturer_431","","manufacturer_431"
240,"store_manufacturer_32","","manufacturer_32"
241,"store_manufacturer_226","","manufacturer_226"
242,"store_manufacturer_233","","manufacturer_233"
243,"store_manufacturer_168","","manufacturer_168"
244,"store_manufacturer_231","","manufacturer_231"
245,"store_manufacturer_338","","manufacturer_338"
246,"store_manufacturer_348","","manufacturer_348"
247,"store_manufacturer_349","","manufacturer_349"
248,"store_manufacturer_239","","manufacturer_239"
249,"store_manufacturer_158","","manufacturer_158"
250,"store_manufacturer_317","","manufacturer_317"
251,"store_manufacturer_54","","manufacturer_54"
252,"store_manufacturer_275","","manufacturer_275"
253,"store_manufacturer_159","","manufacturer_159"
254,"store_manufacturer_162","","manufacturer_162"
255,"store_manufacturer_163","","manufacturer_163"
256,"store_manufacturer_165","","manufacturer_165"
257,"store_manufacturer_419","","manufacturer_419"
258,"store_manufacturer_353","","manufacturer_353"
259,"store_manufacturer_254","","manufacturer_254"
260,"store_manufacturer_171","","manufacturer_171"
261,"store_manufacturer_170","","manufacturer_170"
262,"store_manufacturer_371","","manufacturer_371"
263,"store_manufacturer_191","","manufacturer_191"
264,"store_manufacturer_174","","manufacturer_174"
265,"store_manufacturer_352","","manufacturer_352"
266,"store_manufacturer_178","","manufacturer_178"
267,"store_manufacturer_413","","manufacturer_413"
268,"store_manufacturer_186","","manufacturer_186"
269,"store_manufacturer_173","","manufacturer_173"
270,"store_manufacturer_430","","manufacturer_430"
271,"store_manufacturer_379","","manufacturer_379"
272,"store_manufacturer_207","","manufacturer_207"
273,"store_manufacturer_208","","manufacturer_208"
274,"store_manufacturer_395","","manufacturer_395"
275,"store_manufacturer_334","","manufacturer_334"
276,"store_manufacturer_196","","manufacturer_196"
277,"store_manufacturer_202","","manufacturer_202"
278,"store_manufacturer_204","","manufacturer_204"
279,"store_manufacturer_193","","manufacturer_193"
280,"store_manufacturer_199","","manufacturer_199"
281,"store_manufacturer_362","","manufacturer_362"
282,"store_manufacturer_314","","manufacturer_314"
283,"store_manufacturer_313","","manufacturer_313"
284,"store_manufacturer_201","","manufacturer_201"
285,"store_manufacturer_203","","manufacturer_203"
286,"store_manufacturer_389","","manufacturer_389"
287,"store_manufacturer_238","","manufacturer_238"
288,"store_manufacturer_249","","manufacturer_249"
289,"store_manufacturer_240","","manufacturer_240"
290,"store_manufacturer_321","","manufacturer_321"
291,"store_manufacturer_235","","manufacturer_235"
292,"store_manufacturer_243","","manufacturer_243"
293,"store_manufacturer_242","","manufacturer_242"
294,"store_manufacturer_244","","manufacturer_244"
295,"store_manufacturer_255","","manufacturer_255"
296,"store_manufacturer_245","","manufacturer_245"
297,"store_manufacturer_248","","manufacturer_248"
298,"store_manufacturer_368","","manufacturer_368"
299,"store_manufacturer_370","","manufacturer_370"
300,"store_manufacturer_372","","manufacturer_372"
301,"store_manufacturer_259","","manufacturer_259"
302,"store_manufacturer_267","","manufacturer_267"
303,"store_manufacturer_264","","manufacturer_264"
304,"store_manufacturer_269","","manufacturer_269"
305,"store_manufacturer_268","","manufacturer_268"
306,"store_manufacturer_270","","manufacturer_270"
307,"store_manufacturer_272","","manufacturer_272"
308,"store_manufacturer_279","","manufacturer_279"
309,"store_manufacturer_276","","manufacturer_276"
310,"store_manufacturer_277","","manufacturer_277"
311,"store_manufacturer_274","","manufacturer_274"
312,"store_manufacturer_281","","manufacturer_281"
313,"store_manufacturer_285","","manufacturer_285"
314,"store_manufacturer_282","","manufacturer_282"
315,"store_manufacturer_284","","manufacturer_284"
316,"store_manufacturer_288","","manufacturer_288"
317,"store_manufacturer_286","","manufacturer_286"
318,"store_manufacturer_283","","manufacturer_283"
319,"store_manufacturer_289","","manufacturer_289"
320,"store_manufacturer_294","","manufacturer_294"
321,"store_manufacturer_305","","manufacturer_305"
322,"store_manufacturer_296","","manufacturer_296"
323,"store_manufacturer_300","","manufacturer_300"
324,"store_manufacturer_295","","manufacturer_295"
325,"store_manufacturer_304","","manufacturer_304"
326,"store_manufacturer_298","","manufacturer_298"
327,"store_manufacturer_302","","manufacturer_302"
328,"store_manufacturer_301","","manufacturer_301"
329,"store_manufacturer_299","","manufacturer_299"
330,"store_manufacturer_303","","manufacturer_303"
331,"store_manufacturer_306","","manufacturer_306"
332,"store_manufacturer_307","","manufacturer_307"
333,"store_manufacturer_320","","manufacturer_320"
334,"store_manufacturer_230","","manufacturer_230"
335,"store_manufacturer_229","","manufacturer_229"
336,"store_manufacturer_223","","manufacturer_223"
337,"store_manufacturer_241","","manufacturer_241"
338,"store_manufacturer_322","","manufacturer_322"
339,"store_manufacturer_323","","manufacturer_323"
340,"store_manufacturer_324","","manufacturer_324"
341,"store_manufacturer_328","","manufacturer_328"
342,"store_manufacturer_329","","manufacturer_329"
343,"store_manufacturer_365","","manufacturer_365"
344,"store_manufacturer_332","","manufacturer_332"
345,"store_manufacturer_330","","manufacturer_330"
346,"store_manufacturer_333","","manufacturer_333"
347,"store_manufacturer_374","","manufacturer_374"
348,"store_manufacturer_429","","manufacturer_429"
349,"store_manufacturer_369","","manufacturer_369"
350,"store_manufacturer_360","","manufacturer_360"
351,"store_manufacturer_376","","manufacturer_376"
352,"store_manufacturer_390","","manufacturer_390"
353,"store_manufacturer_378","","manufacturer_378"
354,"store_manufacturer_422","","manufacturer_422"
355,"store_manufacturer_358","","manufacturer_358"
356,"store_manufacturer_380","","manufacturer_380"
357,"store_manufacturer_392","","manufacturer_392"
358,"store_manufacturer_381","","manufacturer_381"
359,"store_manufacturer_383","","manufacturer_383"
360,"store_manufacturer_393","","manufacturer_393"
361,"store_manufacturer_400","","manufacturer_400"
362,"store_manufacturer_351","","manufacturer_351"
363,"store_manufacturer_357","","manufacturer_357"
364,"store_manufacturer_391","","manufacturer_391"
365,"store_manufacturer_385","","manufacturer_385"
366,"store_manufacturer_386","","manufacturer_386"
367,"store_manufacturer_345","","manufacturer_345"
368,"store_manufacturer_337","","manufacturer_337"
369,"store_manufacturer_346","","manufacturer_346"
370,"store_manufacturer_339","","manufacturer_339"
371,"store_manufacturer_340","","manufacturer_340"
372,"store_manufacturer_341","","manufacturer_341"
373,"store_manufacturer_342","","manufacturer_342"
374,"store_manufacturer_347","","manufacturer_347"
375,"store_manufacturer_343","","manufacturer_343"
376,"store_manufacturer_350","","manufacturer_350"
377,"store_manufacturer_344","","manufacturer_344"
378,"store_manufacturer_287","","manufacturer_287"
379,"store_manufacturer_354","","manufacturer_354"
380,"store_manufacturer_355","","manufacturer_355"
381,"store_manufacturer_356","","manufacturer_356"
382,"store_manufacturer_359","","manufacturer_359"
383,"store_manufacturer_361","","manufacturer_361"
384,"store_manufacturer_396","","manufacturer_396"
385,"store_manufacturer_397","","manufacturer_397"
386,"store_manufacturer_399","","manufacturer_399"
387,"store_manufacturer_414","","manufacturer_414"
388,"store_manufacturer_401","","manufacturer_401"
389,"store_manufacturer_402","","manufacturer_402"
390,"store_manufacturer_404","","manufacturer_404"
391,"store_manufacturer_405","","manufacturer_405"
392,"store_manufacturer_406","","manufacturer_406"
393,"store_manufacturer_407","","manufacturer_407"
394,"store_manufacturer_403","","manufacturer_403"
395,"store_manufacturer_426","","manufacturer_426"
396,"store_manufacturer_408","","manufacturer_408"
397,"store_manufacturer_409","","manufacturer_409"
398,"store_manufacturer_420","","manufacturer_420"
399,"store_manufacturer_427","","manufacturer_427"
400,"store_manufacturer_428","","manufacturer_428"
401,"store_manufacturer_423","","manufacturer_423"
402,"store_manufacturer_424","","manufacturer_424"
403,"store_manufacturer_432","","manufacturer_432"
404,"store_manufacturer_23","","manufacturer_23"
405,"store_distributor_69","","distributor_69"
406,"store_distributor_41","","distributor_41"
407,"store_distributor_44","","distributor_44"
408,"store_distributor_43","","distributor_43"
409,"store_distributor_1226","","distributor_1226"
410,"store_distributor_42","","distributor_42"
411,"store_distributor_644","","distributor_644"
412,"store_distributor_1009","","distributor_1009"
413,"store_distributor_1166","","distributor_1166"
414,"store_distributor_1266","","distributor_1266"
415,"store_distributor_1361","","distributor_1361"
416,"store_distributor_2545","","distributor_2545"
417,"store_distributor_102","","distributor_102"
418,"store_distributor_92","","distributor_92"
419,"store_distributor_1615","","distributor_1615"
420,"store_distributor_320","","distributor_320"
421,"store_distributor_2899","","distributor_2899"
422,"store_distributor_2424","","distributor_2424"
423,"store_distributor_2016","","distributor_2016"
424,"store_distributor_1080","","distributor_1080"
425,"store_distributor_137","","distributor_137"
426,"store_distributor_2791","","distributor_2791"
427,"store_distributor_45","","distributor_45"
428,"store_distributor_2015","","distributor_2015"
429,"store_distributor_2023","","distributor_2023"
430,"store_distributor_924","","distributor_924"
431,"store_distributor_791","","distributor_791"
432,"store_distributor_965","","distributor_965"
433,"store_distributor_1643","","distributor_1643"
434,"store_distributor_737","","distributor_737"
435,"store_distributor_862","","distributor_862"
436,"store_distributor_375","","distributor_375"
437,"store_distributor_1023","","distributor_1023"
438,"store_distributor_2313","","distributor_2313"
439,"store_distributor_1720","","distributor_1720"
440,"store_distributor_1037","","distributor_1037"
441,"store_distributor_2443","","distributor_2443"
442,"store_distributor_1059","","distributor_1059"
443,"store_distributor_851","","distributor_851"
444,"store_distributor_2716","","distributor_2716"
445,"store_distributor_2314","","distributor_2314"
446,"store_distributor_1657","","distributor_1657"
447,"store_distributor_1217","","distributor_1217"
448,"store_distributor_1216","","distributor_1216"
449,"store_distributor_1215","","distributor_1215"
450,"store_distributor_2946","","distributor_2946"
451,"store_distributor_2124","","distributor_2124"
452,"store_distributor_1677","","distributor_1677"
453,"store_distributor_2958","","distributor_2958"
454,"store_distributor_1990","","distributor_1990"
455,"store_distributor_139","","distributor_139"
456,"store_distributor_2444","","distributor_2444"
457,"store_distributor_1945","","distributor_1945"
458,"store_distributor_555","","distributor_555"
459,"store_distributor_1018","","distributor_1018"
460,"store_distributor_46","","distributor_46"
461,"store_distributor_1708","","distributor_1708"
462,"store_distributor_712","","distributor_712"
463,"store_distributor_1605","","distributor_1605"
464,"store_distributor_622","","distributor_622"
465,"store_distributor_1566","","distributor_1566"
466,"store_distributor_2764","","distributor_2764"
467,"store_distributor_2530","","distributor_2530"
468,"store_distributor_583","","distributor_583"
469,"store_distributor_52","","distributor_52"
470,"store_distributor_970","","distributor_970"
471,"store_distributor_969","","distributor_969"
472,"store_distributor_971","","distributor_971"
473,"store_distributor_964","","distributor_964"
474,"store_distributor_333","","distributor_333"
475,"store_distributor_1869","","distributor_1869"
476,"store_distributor_1571","","distributor_1571"
477,"store_distributor_2510","","distributor_2510"
478,"store_distributor_1237","","distributor_1237"
479,"store_distributor_1966","","distributor_1966"
480,"store_distributor_960","","distributor_960"
481,"store_distributor_849","","distributor_849"
482,"store_distributor_863","","distributor_863"
483,"store_distributor_1068","","distributor_1068"
484,"store_distributor_2438","","distributor_2438"
485,"store_distributor_1122","","distributor_1122"
486,"store_distributor_1171","","distributor_1171"
487,"store_distributor_1944","","distributor_1944"
488,"store_distributor_2094","","distributor_2094"
489,"store_distributor_1699","","distributor_1699"
490,"store_distributor_1985","","distributor_1985"
491,"store_distributor_1988","","distributor_1988"
492,"store_distributor_2397","","distributor_2397"
493,"store_distributor_2498","","distributor_2498"
494,"store_distributor_2230","","distributor_2230"
495,"store_distributor_2423","","distributor_2423"
496,"store_distributor_2853","","distributor_2853"
497,"store_distributor_2887","","distributor_2887"
498,"store_distributor_2936","","distributor_2936"
499,"store_distributor_3033","","distributor_3033"
